human,humanLabel,uniLabel,plcLabel
http://www.wikidata.org/entity/Q4072784,Matvey Afonin,Uppsala University,Moscow
http://www.wikidata.org/entity/Q4098206,Lennart Bodström,Uppsala University,Gothenburg
http://www.wikidata.org/entity/Q4107873,Lars Johan Werle,Uppsala University,Gävle
http://www.wikidata.org/entity/Q4110625,Karolina Widerström,Uppsala University,Helsingborgs Maria parish
http://www.wikidata.org/entity/Q4110942,Stig Wikander,Uppsala University,Norrtälje
http://www.wikidata.org/entity/Q4114987,Erik Prosperin,Uppsala University,Sweden
http://www.wikidata.org/entity/Q4125260,Gustaf Lindström,Uppsala University,Visby parish
http://www.wikidata.org/entity/Q4126210,Sten Heckscher,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q4157020,Magnus Julius De la Gardie,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q4162615,Emil Hildebrand,Uppsala University,Maria Magdalena parish
http://www.wikidata.org/entity/Q4177921,Ebbe Hertzberg,Uppsala University,Holmestrand
http://www.wikidata.org/entity/Q4181206,Svante Janson,Uppsala University,Uppsala Cathedral Assembly
http://www.wikidata.org/entity/Q4214027,Alexander von Karamyschew,Uppsala University,Siberia Governorate
http://www.wikidata.org/entity/Q4223295,Gustaf Edvard Klemming,Uppsala University,Klara Parish
http://www.wikidata.org/entity/Q4332784,Erik Carl Oxenstierna af Korsholm och Wasa,Uppsala University,Stockholm
http://www.wikidata.org/entity/Q4348813,Gösta Knutsson,Uppsala University,Klara Parish
http://www.wikidata.org/entity/Q4349660,Bernhard von Beskow,Uppsala University,Stockholm City
http://www.wikidata.org/entity/Q4351434,Stig Ossian Ericson,Uppsala University,Härnösand
http://www.wikidata.org/entity/Q4352379,Carl Johann Hartman,Uppsala University,Gävle Heliga Trefaldighets
http://www.wikidata.org/entity/Q4352611,Sten de Geer,Uppsala University,Jakob and Johanne parish
http://www.wikidata.org/entity/Q4353489,Karl Gustaf Westman,Uppsala University,Göteborgs Kristine församling
http://www.wikidata.org/entity/Q4353611,Lars Johan Hierta,Uppsala University,Uppsala Cathedral Assembly
http://www.wikidata.org/entity/Q4354836,Israel Acrelius,Uppsala University,Q10728173
http://www.wikidata.org/entity/Q4356302,Birgitta Dahl,Uppsala University,Gothenburg and Bohus County
