universityLabel,univlocationLabel,countryNameLabel,personLabel,pbornLabel,borncountryLabel,organizationLabel,orglocationLabel,orgcountryLabel,yearFounded
Uppsala University,Uppsala,Sweden,Otto Nordenskjöld,Jönköping County,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Otto Nordenskjöld,Jönköping County,Sweden,University of Gothenburg,Gothenburg,Sweden,1477
Uppsala University,Uppsala,Sweden,Eli Heckscher,Stockholm,Sweden,Stockholm University,Stockholm,Sweden,1477
Lund University,Lund,Sweden,Carl Wilhelm Oseen,Lund,Sweden,Uppsala University,Uppsala,Sweden,1666
Lund University,Lund,Sweden,Johan Wilhelm Dalman,Q10605307,Sweden,Karolinska Institute,Stockholm,Sweden,1666
Uppsala University,Uppsala,Sweden,Sigvard Arne Eklund,Kiruna,Sweden,Royal Institute of Technology,Stockholm,Sweden,1477
University of Gothenburg,Gothenburg,Sweden,Nick Bostrom,Helsingborg,Sweden,University of Oxford,Oxfordshire,United Kingdom,1954
Uppsala University,Uppsala,Sweden,Per Teodor Cleve,Stockholm City,Sweden,Uppsala University,Uppsala,Sweden,1477
Royal Institute of Technology,Stockholm,Sweden,Karl Johan Åström,Östersund,Sweden,Royal Institute of Technology,Stockholm,Sweden,1827
Uppsala University,Uppsala,Sweden,Jakob Ulvsson,Uppland,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Mathias Steuchius,Norrtälje,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Gunnar Helén,Vingåker,Sweden,Stockholm University,Stockholm,Sweden,1477
Uppsala University,Uppsala,Sweden,Johan Ihre,Lunds Cathedral Assembly,Sweden,Uppsala University,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Per Alström,Sweden,Sweden,Swedish University of Agricultural Sciences,Uppsala,Sweden,1477
Uppsala University,Uppsala,Sweden,Per Daniel Amadeus Atterbom,Q10726866,Sweden,Uppsala University,Uppsala,Sweden,1477
Lund University,Lund,Sweden,Lars Vilks,Helsingborg,Sweden,University of Bergen,Bergen,Norway,1666
Stockholm University,Stockholm,Sweden,Assar Lindbeck,Umeå,Sweden,Stockholm School of Economics,Vasastaden,Sweden,1878
